year,precip_sept_may,precip_normals_sept_may,temp_sept_may,temp_normals_sept_may,growth_index,temp_apr_oct,temp_normals_apr_oct,Groups,pdsi_apr_oct,temp_nov_apr,temp_normals_nov_apr,precip_nov_apr,precip_normals_nov_apr,spi_nov_apr
1946,21.54,86.73,51,-2.1,0.822,61.66,-2.17,1,-1.88,45.81,-2.7,18.39,81.9,-0.34
1947,14.29,57.56,51.3,-1.81,0.736,63.53,-0.31,1,-0.59,46.43,-2.08,13.74,61.2,-1.09
1948,17.95,72.3,50.25,-2.86,1.049,61.2,-2.63,1,0.98,45.14,-3.37,12.76,56.82,-1.25
1949,16.93,68.18,49.76,-3.35,0.968,62.51,-1.33,1,-2.08,44.27,-4.24,15.87,70.67,-0.74
1950,20.2,81.34,51.05,-2.06,0.714,63.05,-0.79,1,0.88,46.47,-2.04,19.53,86.98,-0.16
1951,28.03,112.89,52.3,-0.81,0.802,61.69,-2.15,2,0.84,47.59,-0.92,24.57,109.43,0.56
1952,34.17,137.62,51.47,-1.64,1.112,64.61,0.77,2,0.73,46.17,-2.34,32.48,144.68,1.4
1953,22.32,89.9,53.14,0.03,1.284,62.13,-1.7,2,0.97,48.35,-0.16,21.46,95.57,0.13
1954,18.15,73.09,53.86,0.75,0.925,63.54,-0.3,2,-1.82,49.13,0.62,17.40,77.51,-0.49
1955,17.17,69.13,51.54,-1.56,0.864,61.99,-1.85,2,-1.86,46.88,-1.63,16.57,73.83,-0.63
1956,32.36,130.33,52.39,-0.72,1.058,62.94,-0.89,2,1.6,47.31,-1.2,31.30,139.42,1.29
1957,19.72,79.44,52.43,-0.68,1.065,63.84,0,2,2.83,48.28,-0.24,13.62,60.68,-1.11
1958,39.72,159.98,53.12,0.02,1.1,65.78,1.94,2,2.5,48.64,0.13,35.75,159.23,1.66
1959,13.74,55.34,55.57,2.46,0.847,66.04,2.21,2,-2.18,51.23,2.72,13.46,59.98,-1.14
1960,20.91,84.19,52.91,-0.2,1.072,65.69,1.85,2,-2.44,48.27,-0.24,17.01,75.76,-0.55
1961,16.34,65.8,52.2,-0.91,0.918,64.93,1.1,2,-1.73,47.67,-0.84,15.00,66.81,-0.88
1962,21.38,86.09,52.28,-0.83,0.996,63.66,-0.18,2,4.55,48.1,-0.41,20.79,92.59,0.03
1963,33.03,133.03,52.41,-0.7,1.327,62.34,-1.49,2,2.84,48.44,-0.08,22.80,101.54,0.32
1964,15.51,62.47,52.38,-0.73,0.574,64.16,0.33,2,-1.36,47.73,-0.78,12.99,57.87,-1.21
1965,26.34,106.07,53.51,0.4,1.133,62.76,-1.07,2,-0.7,48.31,-0.2,24.88,110.83,0.6
1966,16.54,66.59,53.03,-0.08,0.857,65.01,1.18,2,-3.03,48.91,0.4,16.18,72.08,-0.69
1967,33.27,133.98,52.71,-0.4,0.845,64.74,0.9,2,1.75,47.36,-1.15,32.87,146.43,1.43
1968,18.78,75.63,55.22,2.11,0.772,64.73,0.89,2,-2.61,50.73,2.22,17.80,79.27,-0.43
1969,31.26,125.89,52.15,-0.96,1.043,64.27,0.43,2,0.59,46.94,-1.57,30.71,136.79,1.24
1970,25.39,102.27,55.15,2.04,0.869,64.38,0.54,2,-2.43,50.63,2.12,23.27,103.64,0.39
1971,23.43,94.34,53.04,-0.07,1.039,64.21,0.37,2,-1.59,48.4,-0.11,22.17,98.73,0.23
1972,13.07,52.64,53.63,0.53,0.65,64.14,0.3,2,-1.33,48.67,0.16,12.60,56.12,-1.27
1973,35.94,144.76,51.75,-1.36,1.115,64.85,1.01,2,-1.61,46.64,-1.87,31.65,140.99,1.33
1974,29.25,117.81,51.28,-1.83,1.221,64.57,0.73,2,0.77,46.49,-2.02,27.20,121.18,0.88
1975,22.13,89.11,52.7,-0.41,0.902,63.12,-0.72,2,1.84,46.7,-1.82,21.18,94.35,0.09
1976,10.24,41.22,52.91,-0.19,0.475,63.34,-0.5,2,-1.45,48.11,-0.4,6.85,30.51,-2.19
1977,11.5,46.3,53.44,0.33,0.38,64.1,0.27,2,-2.46,49.37,0.86,8.58,38.23,-1.92
1978,36.1,145.39,54.8,1.69,1.248,65.05,1.21,2,0.73,50.48,1.97,34.65,154.32,1.58
1979,21.42,86.25,53.45,0.34,1.432,65.46,1.62,2,-0.6,47.83,-0.68,20.39,90.84,-0.02
1980,33.15,133.5,53.91,0.8,1.187,61.82,-2.02,2,0.89,49.64,1.13,29.69,132.23,1.14
1981,14.92,60.09,54.76,1.66,1.159,65.35,1.51,2,-1.99,51.04,2.53,14.49,64.53,-0.96
1982,45.55,183.45,52.84,-0.27,1.008,62.62,-1.22,2,5.51,48.23,-0.28,42.72,190.27,2.12
1983,48.19,194.07,52.55,-0.55,1.211,63.24,-0.59,2,5.61,47.81,-0.7,43.43,193.43,2.16
1984,25.59,103.06,54.79,1.68,1.198,65.72,1.89,2,1.53,49.46,0.95,23.94,106.62,0.48
1985,19.72,79.44,53.04,-0.07,0.75,64.22,0.39,2,-1.78,48.35,-0.16,17.20,76.64,-0.52
1986,34.92,140.64,53.12,0.01,0.887,63.12,-0.72,2,1.66,49.7,1.19,32.76,145.91,1.42
1987,16.65,67.07,53.71,0.61,0.494,64.84,1.01,2,-2.83,49.75,1.24,14.06,62.61,-1.04
1988,18.74,75.47,53.8,0.69,0.515,64.83,1,2,-2.25,49.32,0.81,16.26,72.43,-0.68
1989,15.31,61.68,52.93,-0.18,0.827,63.29,-0.55,2,-0.84,47.57,-0.94,14.69,65.41,-0.93
1990,15.39,61.99,53.63,0.53,0.705,64.37,0.54,2,-2.42,50.19,1.68,9.21,41.04,-1.82
1991,14.21,57.24,53.25,0.14,0.768,63.74,-0.09,2,-1.15,49.13,0.61,13.70,61.03,-1.09
1992,18.03,72.62,56.48,3.37,0.82,65.78,1.94,2,-2.66,50.58,2.07,15.08,67.17,-0.87
1993,31.89,128.43,53.67,0.56,1.451,64.07,0.23,2,-0.46,48.93,0.42,29.06,129.42,1.08
1994,17.32,69.76,53.22,0.12,0.925,63.22,-0.61,2,-1.29,48.65,0.13,15.16,67.52,-0.86
1995,36.5,146.98,50.69,-2.41,1.168,62.46,-1.38,2,3.39,46.1,-2.41,33.74,150.29,1.51
1996,30.71,123.67,55.86,2.75,1.139,66.57,2.73,2,1.87,51.9,3.39,28.54,127.14,1.02
1997,27.52,110.83,55.57,2.46,0.916,65.54,1.71,2,-2.62,50.89,2.38,25.94,115.57,0.73
1998,37.24,149.99,52.6,-0.51,1.526,62.31,-1.52,2,2.85,48.67,0.16,34.49,153.62,1.56
1999,24.57,98.94,51.68,-1.43,1.122,64.07,0.24,2,-1.05,46.92,-1.59,23.50,104.69,0.42
2000,28.11,113.21,55.51,2.4,1.122,63.65,-0.18,2,2.21,50.15,1.64,26.18,116.62,0.75
2001,17.36,69.92,52.59,-0.51,0.871,64.84,1,2,-2.71,47.12,-1.39,13.54,60.33,-1.12
2002,18.94,76.26,51.78,-1.33,0.816,63.58,-0.25,2,-2.52,46.81,-1.7,17.40,77.51,-0.49
2003,17.8,71.67,52.39,-0.72,1.174,63.4,-0.43,2,-2.03,47.74,-0.77,16.77,74.71,-0.6
2004,22.01,88.63,52.61,-0.5,1.026,62.37,-1.46,2,1.48,47.1,-1.41,21.89,97.5,0.2
