Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1958,8.54,8.07,2.56,3.74,1.18,2.83,0.04,0.08,1.18,2.24,8.94,5.20
1959,11.02,5,4.53,0.98,2.48,1.69,0.43,0,2.56,2.17,2.72,3.70
1960,4.72,6.14,7.13,3.7,4.29,0.35,0,0.79,0.75,2.8,11.18,3.54
1961,5.12,11.18,7.95,2.44,2.68,0.51,0.55,0.35,1.18,3.98,5.83,6.89
1962,1.57,3.98,6.46,3.27,2.44,0.59,0,0.91,1.81,4.8,8.31,3.35
1963,1.85,5.43,6.54,4.57,3.98,1.38,0.83,0.63,1.42,3.11,7.44,3.86
1964,12.13,1.18,4.29,1.42,0.83,1.5,0.63,0.51,0.67,1.38,8.74,14.61
1965,10.16,1.85,0.71,2.56,1.46,0.67,0.35,0.98,0.04,2.24,7.8,7.99
1966,9.13,2.17,6.81,0.94,0.79,0.91,0.71,0.31,1.57,2.83,6.3,8.15
1967,8.82,2.01,4.41,2.2,1.26,0.83,0,0,0.87,5.87,3.27,6.26
1968,6.3,7.56,3.5,1.5,3.27,1.42,0.28,4.72,2.32,6.02,7.01,12.60
1969,9.72,4.09,1.97,2.44,1.65,2.52,0.04,0,3.07,4.02,3.11,10.28
1970,13.7,5.08,2.68,2.72,1.14,0.63,0.08,0,1.42,3.62,7.32,10.79
1971,9.33,4.88,6.54,3.94,2.05,2.48,0.08,0.67,3.66,3.07,8.19,9.37
1972,9.29,5.35,6.26,4.53,2.32,1.06,0.16,0.39,2.64,0.91,4.41,9.41
1973,5.43,1.73,3.62,1.69,1.1,1.34,0,0.75,2.95,2.6,17.09,11.81
1974,10.43,7.13,8.27,2.36,1.54,0.71,1.73,0.04,0.12,1.65,6.89,8.50
1975,6.06,5.59,4.92,2.32,2.09,1.1,0.67,1.89,0,5,5.55,7.09
1976,6.65,6.69,4.29,2.2,1.26,0.55,0.91,2.09,1.14,1.22,1.54,1.54
1977,1.06,2.95,4.88,0.87,3.54,1.14,0.28,2.05,3.27,2.68,7.83,11.02
1978,6.93,4.29,2.01,4.65,3.58,0.98,0.55,2.36,3.43,0.79,3.7,4.13
1979,2.72,8.23,2.87,2.99,2.4,0.51,0.39,1.93,2.2,6.81,4.37,6.46
1980,7.52,4.17,4.06,3.66,1.3,2.01,0.24,0.04,1.06,1.81,6.57,11.42
1981,2.28,4.45,3.19,2.32,2.76,3.15,0.16,0.04,3.03,5.31,6.54,13.23
1982,7.44,7.01,3.58,4.88,0.51,1.57,0.51,0.47,2.17,3.9,5.31,10.39
1983,6.85,10.35,8.39,2.87,1.77,1.73,2.6,2.09,0.55,1.3,10.31,7.24
1984,3.03,6.57,4.25,3.62,3.86,4.09,0.16,0,0.98,4.84,13.58,4.13
1985,0.31,3.78,4.57,1.02,0.94,2.6,0.47,0.55,1.34,3.82,5.04,3.31
1986,6.65,9.57,3.19,1.77,2.52,0.39,1.1,0,3.7,2.68,8.46,3.58
1987,7.64,4.72,4.17,1.69,1.73,0.35,2.13,0.2,0.16,0.2,3.78,11.22
1988,7.48,1.61,3.98,3.62,3.62,2.13,0.16,0,0.91,0.16,10.94,3.98
1989,4.61,3.15,7.28,1.38,1.73,1.1,0.43,1.06,0.63,2.72,3.98,3.11
1990,9.65,5.63,2.32,2.13,1.85,1.69,0.47,1.46,0.67,4.96,5.35,3.50
1991,2.64,3.74,5.55,3.78,3.74,1.65,0.31,0.59,0.16,2.52,6.5,4.69
1992,4.41,4.65,1.26,4.25,0.24,1.06,0.87,0.24,1.06,3.31,5.24,7.60
1993,4.45,1.97,4.96,6.38,4.25,2.68,1.14,0.47,0.04,1.18,1.42,7.52
1994,4.53,5.35,3.27,2.05,1.3,1.69,0.04,0.04,1.14,4.33,9.33,6.50
1995,9.53,4.61,4.72,4.8,1.46,2.32,0.59,0.87,2.56,3.98,8.66,9.72
1996,10.35,12.95,3.31,5.31,4.21,0.87,0.87,0.12,2.52,5.75,11.06,17.80
1997,8.98,3.07,7.09,3.5,2.2,2.64,0.55,1.14,3.5,6.02,4.92,3.43
1998,9.09,7.05,6.1,1.89,5.47,1.02,0.12,0,0.87,3.54,12.24,10.39
1999,9.13,12.05,5.24,1.38,2.32,0.94,0.16,0.55,0.08,2.83,8.7,5.83
2000,8.15,6.46,3.62,1.81,2.87,1.38,0.16,0.04,0.79,3.11,2.91,4.37
2001,1.89,1.42,3.03,2.2,1.42,1.97,0.35,0.98,0.67,3.23,8.27,9.06
2002,8.98,3.86,5.31,2.05,1.65,1.3,0.08,0.24,1.14,0.75,4.8,12.01
2003,7.52,3.86,7.13,6.3,1.34,0.31,0,0.16,1.06,2.17,5.91,11.14
2004,8.35,4.92,1.97,2.28,1.69,1.61,0.04,1.77,2.4,4.09,2.64,4.65
