year,jan
1980,0.376
1981,-0.564
1982,0.15
1983,2.79
1984,-0.93
1985,-1.14
1986,-0.78
1987,1.34
1988,0.75
1989,-2.04
1990,-0.02
1991,0.44
1992,1.84
1993,0.12
1994,0.03
1995,0.98
1996,-0.83
1997,-0.61
1998,2.53
1999,-1.67
2000,-1.92
2001,-0.83
2002,-0.07
2003,1.19
2004,0.17
2005,0.53
2006,-0.93
2007,0.69
2008,-1.86
2009,-1.03
2010,1.5
2011,-1.64
2012,-1.08
2013,-0.41
2014,-0.51
2015,0.53
2016,2.6
2017,-0.32
