year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1958,47.52,48.69,44.07,52.92,60.29,63.14,70.87,77.37,71.82,64.02,54.7,50.98
1959,48.84,44.32,53.06,55.49,56.89,67.91,77.92,72.97,66.81,64.31,50.03,46.27
1960,43.69,46.23,50.99,52.41,55.41,71.45,77.51,73.09,70.84,59.12,49.42,46.41
1961,43,47.48,45.85,53.86,53.79,69.73,77.59,72.19,67.2,60.16,51.17,45.76
1962,46.07,44.77,45,55.83,54.56,65.49,72.46,71.2,67.41,58.67,54.38,46.58
1963,43.64,53.23,47.08,45.71,54.96,63.37,69.99,72.11,70.21,60.04,50.77,42.4
1964,45.27,47.97,47.66,52.29,54.81,62.52,73.37,73.05,67.15,65.97,48.17,46.98
1965,46.26,48.67,48.58,51.22,58.55,60.04,70.07,73.67,64.65,61.14,52.26,44.01
1966,45.91,44.97,50.63,55.69,57.96,67.77,69.47,74.11,69.6,60.5,53.4,47.03
1967,48.04,45.7,47.7,42.32,60.06,63.6,76.05,75.83,72.56,62.74,56.86,45
1968,45.27,51.28,51.4,54.6,57.26,68.76,74.62,68.24,68.87,60.75,51.29,43.48
1969,44.85,41.99,48.76,51.27,58.11,60.88,73.91,74.66,73.18,57.87,52.86,49.6
1970,47.83,50.63,52.19,50.67,61.5,63.69,72.23,70.26,71.92,60.39,53.82,43.57
1971,47.11,48.15,47.87,49.89,54.6,63.37,75.94,75.28,70.41,59.96,51.47,40.86
1972,44.05,48.25,54.76,52.63,60.31,64.41,74.29,72.75,66.46,58.13,48.95,41.51
1973,43.47,47.42,44.63,53.87,61.33,68.4,72.65,72.28,65.25,60.16,46.72,47.55
1974,43.28,44.83,46.67,49.92,57.14,66.67,72.22,72.97,69.49,63.58,51.61,45
1975,46.61,45.93,45,46.03,61.07,62.83,71.07,71.78,69.72,59.33,50.76,47.22
1976,46.1,48.19,48.78,47.62,58.49,65.24,71.19,68.28,69.85,62.71,53.92,45.18
1977,46.28,48.97,47.59,54.26,52.21,66.49,74.67,71.82,67.91,61.37,52.77,50.35
1978,48.76,48.02,53.01,49.95,61.08,63.69,73.37,74.3,68.57,64.38,51.04,44.27
1979,44.39,45.68,49.11,52.51,61.09,67.13,75.07,69.08,72.9,60.45,50.73,50.67
1980,46.95,50.01,47.56,51.92,54.01,58.5,71.71,69.44,65.71,61.44,55.3,49.9
1981,50.83,49.21,47.41,53.6,59.47,71.77,73.58,71.66,69.66,57.69,53.05,49.32
1982,43.15,48.35,44.68,50.85,58.78,59.53,69.87,71.49,67.43,60.35,49.06,46.16
1983,48.49,47.45,47.47,48.24,58.33,62.95,67.73,71.19,70.69,63.58,50.04,46.18
1984,48.93,47.24,53.38,50.98,62.09,65.32,77.11,73.19,74.16,57.23,48.14,43.72
1985,45.34,49.8,45.67,57.43,55.9,70.07,75.95,69.07,62.3,58.85,47.88,44.95
1986,51.43,48.64,52.93,52.38,58.69,65.13,69.95,72.27,61.62,61.8,53.81,45.97
1987,45.03,48.65,48.37,56.69,61.49,66.47,67.94,69.64,69.61,62.08,50.28,43.65
1988,46.35,52.52,50.69,52.42,56.57,63.86,77.32,70.6,70.09,62.99,48.91,46.34
1989,45.06,41.85,47.65,55.64,57.85,62.92,72.13,68.85,64.99,60.64,55.65,49.77
1990,46.26,43.75,50.27,55.47,55.89,64.21,73.99,70.78,68.44,61.83,55.26,44.16
1991,47.82,53.26,43.12,51.12,54.2,60.48,73.19,67.06,72.88,67.25,54.94,48.22
1992,45.92,49.16,49.15,56.07,64.73,63.18,69.65,74.99,68.95,62.88,54.98,44.57
1993,43.72,45.35,52.64,52.35,57.59,66.1,70.72,70.02,69.58,62.11,52.12,44.56
1994,48.5,43.63,51.79,51.27,55.44,65.63,71.87,71.67,67.65,59.02,44.76,41.21
1995,45.53,50.11,46.4,48.58,52.99,61.56,69.47,72.9,68.22,63.49,57.97,48.66
1996,48.59,49.05,51.27,55.89,59.6,66.5,78.66,75.79,68.85,60.69,52.6,48.21
1997,46.35,49.62,54.42,54.15,65.25,65.48,73.15,70.22,70.47,60.1,53.65,46.38
1998,46.52,44.89,49.68,50.94,50.75,59.14,72.03,75.38,69.13,58.81,49.24,44.7
1999,47.62,44.74,44.56,50.66,55.65,63.16,69.06,69.86,72.9,67.24,54.6,49.19
2000,46.45,46.24,49.33,55.1,58.51,68.94,67.51,72.03,67.61,55.84,45.84,48.83
2001,45.32,42.68,51.53,48.54,67.15,65.73,71.1,70.68,67.62,63.03,50.6,42.4
2002,43.24,47.34,46.03,51.27,54.48,65.65,73.35,70.76,68.95,60.62,53.19,44.98
2003,51.83,45.63,48.26,42.53,55.52,66.6,75.35,68.94,70.25,64.64,45.54,43.76
2004,43.61,42.27,55.13,52.3,55.95,64.37,70.85,69.86,68.48,54.8,48.46,46.25
