Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1958,8.46,8.11,2.65,3.79,1.16,3.02,0.02,0.02,1.35,2.63,8.8,4.31
1959,10.91,4.73,2.08,0.87,2.28,1.36,0.33,0,1.67,1.62,2.68,3.48
1960,4.54,6.73,7.44,3.42,4.08,0.23,0,0.67,0.54,2.61,10.89,3.44
1961,4.98,10.28,7.74,2.32,2.13,0.42,0.61,0.34,1.22,3.99,6,5.79
1962,1.27,3.97,6.6,3.01,2.4,0.41,0,0.59,1.66,4.79,8.18,3.00
1963,1.71,5.42,6.55,4.82,4.08,1,0.54,0.67,0.97,2.88,7.31,4.05
1964,12.11,0.82,4.49,1.67,0.58,0.92,0.59,0.24,0.33,1.29,9.56,13.76
1965,11.87,1.62,0.61,2.08,1.12,0.54,0.4,1.01,0.04,2.2,9.02,7.97
1966,10.59,1.84,7.48,0.98,0.51,0.78,0.51,0.28,1.78,3.29,5.48,7.95
1967,9.85,1.84,4.38,1.66,0.88,0.8,0,0,0.87,6.42,3.58,6.55
1968,7.39,7.37,4.05,1.57,3.58,0.82,0.36,5.43,2.06,6.55,6.77,14.96
1969,9.69,4.43,1.88,2.02,1.71,2.55,0.05,0,3.76,3.02,2.96,12.02
1970,16.07,6.2,2.38,2.76,1.16,0.56,0.12,0,1.11,4.2,7.57,12.92
1971,11.11,5.56,6.38,4.54,2.42,2.57,0.02,0.5,3.22,2.91,9.56,10.51
1972,10.48,5.33,6.69,4.44,2.45,1.05,0.09,0.25,2.37,0.91,5.1,9.68
1973,5.76,1.71,3.76,1.81,0.88,1.43,0.02,0.73,2.62,2.8,18.96,12.86
1974,12.02,7.8,9.2,2.48,1.51,0.63,1.88,0,0.07,1.47,7.13,8.46
1975,4.83,5.69,4.81,2.49,2.15,1.18,0.64,1.74,0,4.47,5.72,6.71
1976,6.84,6.96,4.61,2.06,1.18,0.49,0.93,2.16,1.32,1.3,1.47,1.53
1977,1,3.08,5.29,1.06,3.56,1.17,0.12,1.96,3.72,2.67,8.41,11.43
1978,7.62,4.44,2.23,5.11,3.75,0.98,0.3,2.42,3.52,1.02,3.25,4.40
1979,2.66,8.66,3,3.04,2.19,0.4,0.44,2.77,2.23,7.48,4.26,6.50
1980,6.94,4.03,4.17,3.77,1.51,1.82,0.25,0.01,1,1.95,6.53,11.76
1981,2.37,4.6,3.1,2.47,3.1,2.68,0.11,0.01,3.21,5.73,6.98,14.49
1982,7.47,7.38,3.67,4.74,0.51,1.57,0.45,0.29,1.96,3.77,5.72,10.96
1983,7.17,10.68,9.1,3.11,1.57,1.44,2.65,2.29,0.55,1.1,10.3,7.63
1984,3.38,7.18,3.96,3.53,3.8,4.51,0.21,0,0.77,4.83,14.06,4.16
1985,0.27,3.78,5.12,1.1,0.98,2.3,0.56,0.49,0.82,4.04,4.87,3.85
1986,6.78,10.25,3.16,1.91,2.6,0.32,1.2,0,3.7,2.91,8.94,3.64
1987,8.54,4.68,3.84,1.63,1.46,0.3,2.31,0.18,0.05,0.28,4.04,11.84
1988,7.39,1.78,4.05,3.45,3.98,1.91,0.1,0,0.76,0.15,11.27,4.13
1989,4.33,3.33,7.04,1.47,1.51,1.18,0.34,0.9,0.62,2.76,4.05,3.19
1990,9.84,6,2.29,2.47,1.48,1.59,0.47,1.78,0.87,4.73,5.05,3.67
1991,2.79,3.35,6.07,3.6,4.06,1.58,0.4,0.75,0.2,2.65,5.31,4.54
1992,4.68,4.72,1.08,4.24,0,1.22,1.22,0.46,0.57,3.66,5.18,7.66
1993,4.31,2.29,5.04,7.07,4.69,2.19,0.82,0.33,0.07,1.11,1.08,8.28
1994,4.04,5.8,3.6,2.02,1.18,1.96,0.01,0,0.92,3.98,9.36,6.50
1995,10.27,4.45,4.91,5.49,1.48,2.44,0.54,0.85,3.25,4.11,8.01,10.50
1996,10.76,14.13,3.67,5.11,4.13,0.89,0.96,0.15,2.3,5.51,10.58,17.74
1997,9.42,2.29,6.66,3.73,2.29,2.51,0.4,1.3,3.51,5.7,5.37,3.13
1998,9.37,7.98,6.93,1.9,6.01,1.01,0.11,0,0.91,3.93,13.26,10.80
1999,10.03,13.08,5.51,1.11,2.07,0.85,0.06,0.36,0.07,3.02,9.33,6.16
2000,8.44,6.57,3.77,1.69,3.11,1.27,0.17,0.02,0.67,3.08,2.87,4.59
2001,1.66,1.25,2.96,2.42,1.15,2.1,0.29,1,0.56,3.21,8.53,9.69
2002,9.52,3.92,5.85,1.92,1.82,1.24,0.02,0.3,1.18,0.76,5.62,12.98
2003,7.48,3.72,7.8,6.72,1.38,0.38,0,0.12,1.05,2.06,6.27,11.65
2004,7.36,5.14,2.33,1.53,1.36,1.57,0.04,1.85,2.52,4.24,2.62,4.75
2005,2.91,0.5,4.51,2.73,4.41,2.1,0.13,0.17,0.4,3.7,6.82,12.28
2006,14.48,3.28,4.16,2.6,2.54,0.86,0.15,0.05,0.7,1.16,16.77,8.70
2007,4.06,5.93,2.81,2.07,1.68,0.67,0.44,0.83,1.8,4.51,4.51,9.80
2008,9.04,2.79,4.67,2.47,0.4,1.08,0.05,1.28,0.89,1.56,4.9,6.24
2009,3.84,3.43,3.96,1.35,3.79,0.64,0.82,0.26,1.23,3.06,8.44,5.65
2010,7.01,4.54,6.31,4.54,3.44,2.85,0.1,0.55,2.69,5.03,5.73,10.63
2011,4.17,3.42,7.98,4.22,3.72,1.23,0.81,0.03,0.4,2.85,5.72,4.43
2012,11.76,3.84,11.89,4.67,2.89,2.36,0.51,0.02,0.07,5.33,8.09,10.38
2013,1.77,2.01,2.41,2.01,2.56,1.33,0,0.35,7.33,1.22,2.81,2.22
2014,2.89,8.37,7.71,2.66,2.73,0.7,0.65,0.2,1.11,5.42,6.11,8.19
2015,3.72,5.41,3.37,2.02,0.84,0.79,0.06,0.49,1.23,2.51,5.52,15.60
2016,9.06,3.76,6.38,3.31,0.91,0.93,0.52,0.11,0.74,10.84,8.07,6.18
2017,5.54,11.13,8.47,4.3,1.79,1.61,0,0.1,2,5.87,9.24,3.78
